case_number,year,country,area,location,activity,sex,age,injured_part,fatal,time,species
1876.00.00.b,1876,AUSTRALIA,Western Australia,Between De Grey River and Port Walcott,Pearl diving,M,Unknown,Unknown,N,Unknown,Unknown
ND.0058,1958,FIJI,Kadavu Island Group,"18.8S, 178.25E",Swimming with fish attached to  belt,F,Unknown,Unknown,N,Unknown,Unknown
1862.06.03,1862,SOUTH AFRICA,KwaZulu-Natal,Durban Harbor,Unknown,M,Unknown,Unknown,N,Unknown,Unknown
1960.08.14,1960,MOZAMBIQUE,Delagoa Bay,Bella Vista,boat with 46 people on board capsized,Unknown,Unknown,Unknown,N,Unknown,Unknown
1941.06.00,1941,PACIFIC OCEAN,Off coast of Ecuador,Between Esmeraldas & Salinas,"Ditched aircraft, 3 men in the water. Swam for 31 hours",M,Unknown,Unknown,Y,17,Unknown
2002.11.11,2002,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,21,Unknown,N,13,Unknown
1959.08.14.a,1959,PHILIPPINES,Queaon,Between Unisan & Angadanan Islands,Fishing boat capsized ,Unknown,Unknown,Unknown,Y,15,Unknown
1966.01.14,1966,COLUMBIA,Unknown,Off Cartagena,Colombian  (Avianca) DC-4 airliner plunged into the sea 5 minutes after takeoff,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1996.02.05,1996,DOMINICAN REPUBLIC,12 miles off the north coast,Boeing 757 enroute from Porta Plata,Boeing 757 enroute from Porta Plata plunged into the sea,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1929.11.29,1929,KIRIBATI,Phoenix Islands,Nikumaroro Island,"Sea Disaster, wreck of the  SS Norwich City",Unknown,Unknown,Unknown,Y,Unknown,Unknown
2006.11.25,2006,PHILIPPINES,Surigao del Norte,"Off Bilisan Point, Hinatuarn Island",Sea Disaster,Unknown,Unknown,Unknown,Y,14,Unknown
1942.11.28,1942,SOUTH AFRICA,KwaZulu-Natal,50 km off St. Lucia,U-177 torpedoed & sank the troopship Nova Scotia,M,Unknown,Unknown,Y,9,white shark
2003.09.00,2003,USA,Florida,"Boca Grande, Lee County",Wade-fishing,M,Unknown,ankle,N,Unknown,Unknown
1965.11.03.b,1965,PANAMA,Caribbean Sea,Golfo de los Mosquitos,Argentine Air Force C-54,Unknown,Unknown,Unknown,Y,7,Unknown
1874.00.00,1874,TUVALU,Unknown,Between Nanumea & Nanumaga Atolls,Fleet of canoes caught by a squall and charged by sharks.,Unknown,Unknown,Unknown,Y,21,Unknown
1970.06.00,1970,PHILIPPINES,200 nm southeast of Manila,Unknown,Motor launch Baby Princesa capsized with 22 people on board,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1985.11.05,1985,USA,California,"Southeast Farallon Island, Farallon Islands",Boat,Unknown,Unknown,no injury,N,Unknown,white shark
1938.05.02.R,1938,INDIA,West Bengal,Hooghley River near Budge-Budge,Bathing,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1997.08.27,1997,USA,Florida,"New Smyrna Beach, Volusia County",Walking / surfing,M,22,heel,N,11,Unknown
1987.12.20,1987,PHILIPPINES,Mindoro,Off Manila,Ferry boat Dona Paz with 4431 passengers exploded & caught fire when she collided with an  oil tanker ,Unknown,Unknown,Unknown,Y,Unknown,Unknown
ND.0019,1921,USA,Florida,"Gadsden Point, Tampa Bay",Fishing,M,Unknown,Unknown,N,Unknown,Unknown
1950.01.12.R,1950,AUSTRALIA,Victoria,South Werribee Beach,Swimming,M,Unknown,heel,N,Unknown,Unknown
1951.05.09.R,1951,ITALY,Naples Province,"Torre del Greco, Naples",Unknown,Unknown,Unknown,Unknown,N,Unknown,Unknown
1961.00.00.a,1961,USA,Hawaii,Maui,Light aircraft ditched at sea,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1937.09.01,1937,SCOTLAND,Argyll,"Carradale Bay, Kintyre Peninsula",Rowing,M,Unknown,Unknown,N,Unknown,basking shark
1877.03.16,1877,ITALY,Strait of Messina,Off Calabria,Paddling,M,Unknown,torso,N,Unknown,Unknown
1981.01.30,1981,USA,Florida,20 miles from Mayport,Commercial spearfishing,M,25,head,N,Unknown,tiger shark
1961.01.06.b,1961,ATLANTIC OCEAN,9.35N 79.35W,"East of La Grande Island, North of Panama Canal",Pacific Seafarer of US Navy,Unknown,Unknown,Unknown,Y,Unknown,Unknown
2013.10.23,2013,USA,Hawaii,"Waiehu, Maui",Diving ,M,45,buttock,N,15,white shark
1948.12.05,1948,NORTH PACIFIC OCEAN,Between Kwajalein Atoll & Johnston Island,500 nautical miles southwest of Johnston Island,Air/Sea Disaster involving C-54 Air Force Transport No. 2686 with 37 on board,M,Unknown,Unknown,Y,18,Unknown
1943.03.02.b,1943,BRAZIL,Unknown,Near the Abrolhos Archipelago ,The 3540-ton Alfonso Penna was torpedoed & sunk by the Italian submarine Barbarigo,Unknown,Unknown,Unknown,Y,19,Unknown
1927.11.03,1927,AUSTRALIA,New South Wales,"Bradleys Head, Sydney ",The steamer Tahiti collided with the ferry Greycliffe,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1941.11.24,1941,SOUTH ATLANTIC OCEAN,"North of Pernambuco, Brazil",Unknown,British cruiser Dunedin torpedoed & sunk by the U-124,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1959.09.10.R,1959,INDIA,Orissa,Machhagan,Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1997.11.05,1997,AUSTRALIA,New South Wales,Botany Bay?,Unknown,M,21,Unknown,Y,Unknown,Unknown
1959.00.00.f,1959,INDIA,Orissa,Mouth of Devi River at Machgaon,Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1981.09.28,1981,USA,Florida,"Cocoa Beach, Brevard County",Surfing,M,28,buttock,N,18,Unknown
1933.05.24,1933,BARBADOS,St Michael Parish,Off Pelican Island,Yacht of Michael Howell capsized,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1892.03.25.R,1892,PACIFIC OCEAN,Unknown,Unknown, a canoe was pursuing a schooner that had forcibily abducted 5 young girls,M,Unknown,Unknown,Y,Unknown,Unknown
1968.05.18,1968,TANZANIA,Mafia Island,Unknown,Schooner sank during a storm,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1964.06.29.a,1964,BERMUDA,Hamilton,2 miles south of Castle Island Harbour entrance to Hamilton,Conducting a promotional film project for the Gemini space program (a practice astronaut recovery),Unknown,Unknown,Unknown,Y,Unknown,Unknown
2006.07.17.R,2006,AUSTRALIA,Torres Strait,Western Province,Unknown,Unknown,Unknown,Unknown,N,Unknown,Unknown
1948.05.10,1948,IRAN,Shatt-al-Arab River,Unknown,"Fishing, shark caught in his net",M,38,arm,N,Unknown,Unknown
1963.01.26,1963,AUSTRALIA,New South Wales,Evans Head,Swimming,M,25,Unknown,Y,16,Unknown
2014.09.13,2014,USA,California,"Manresa State Beach, Santa Cruz County",Surfing,M,Unknown,Unknown,N,18,Unknown
1949.08.28.b,1949,AUSTRALIA,Queensland,Yorkeyï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,Swimming,M,21,abdomen,N,13,Unknown
1961.04.30,1961,USA,Florida,Palm Beach County,Splashing ,M,10,abdomen,N,15,Unknown
1966.09.08.b,1966,USA,Florida,"Florida Keys, Monroe County",Hunting crayfish ,M,14,abdomen,N,Unknown,nurse shark
1920.02.03,1920,SOUTH AFRICA,Eastern Cape Province,Zwartkops River,Floating face down,F,18,abdomen,N,17,Unknown
1817.02.22,1817,SRI LANKA,Unknown,Gulf of Mannar,Conch diver,M,Unknown,abdomen,N,13,Unknown
1901.00.00,1901,USA,Florida,Indian River Inlet / Fort Pierce Inlet,Bathing,M,Unknown,abdomen,N,Unknown,Unknown
1946.00.00.a,1946,PERSIAN GULF,"""Head of the Gulf""",Unknown,Bitten after dhow shipwrecked,F,Unknown,abdomen,N,Unknown,Unknown
1954.08.19,1954,ITALY,Liguaria,Finale Ligure,Spearfishing,M,27,abdomen,N,Unknown,Unknown
1981.12.13.b,1981,AUSTRALIA,Queensland,Green Island,Unknown,Unknown,Unknown,abdomen,N,Unknown,Unknown
1989.01.03,1989,AUSTRALIA,New South Wales,"Half Tide Beach, Evans Head",Surfing with dolphins,M,17,abdomen,N,17,tiger shark
2003.09.29,2003,FIJI,Taveuni,Welagi coastal reef off Drekeniwai,Wading to shore from his boat,M,40,abdomen,Y,21,Unknown
1921.08.28,1921,PHILIPPINES,Luzon Island,"Fort Frank, Manila Bay",Swimming,M,21,abdomen,Y,15,Unknown
1926.10.29.R,1926,PAPUA NEW GUINEA,Central Province,Roku Point,Jumped into the water,M,Unknown,abdomen,Y,Unknown,Unknown
1955.08.08,1955,AMERICAN SAMOA,Tutuila Island,Pago Pago Bay,Swimming,M,28,abdomen,Y,9,blue shark
1923.00.00.b,1923,PHILIPPINES, Manila Bay,Fort Drum,Unknown,M,Unknown,abdomen,Y,Unknown,Unknown
1964.05.08,1964,FIJI,Vita Levu,Naviti,Spearfishing,M,35,abdomen,Y,11,tiger shark
1939.00.00.a,1939,PAPUA NEW GUINEA,"Abau Sub District, Central Province",Aroma Passage,Swimming to anchored boat,M,Unknown,abdomen,Y,Unknown,Unknown
1952.00.00.b,1952,PAPUA NEW GUINEA,New Ireland Province,"Samo Plantation, east coast ",Spearfishing,M,27,abdomen,Y,Unknown,Unknown
1949.00.00.a,1949,NEW GUINEA,"Abau Sub District, Central Province",Kerpuna ,Swimming ,M,Unknown,abdomen,Y,Unknown,Unknown
1923.10.20,1923,AUSTRALIA,New South Wales,"Botany Bay, Sydney",Sailing,M,Unknown,abdomen,Y,Unknown,Unknown
1925.11.00.b,1925,USA,Puerto Rico,"Condado Beach, San Juan",Unknown,Unknown,Unknown,abdomen,N,Unknown,Unknown
1964.03.05,1964,USA,Florida,"Fort Lauderdale, Broward County",Skin diving ,M,38,abdomen,N,16,Unknown
2007.09.13,2007,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,M,14,abdomen,N,16,nurse shark
1991.07.18,1991,USA,Florida,150 miles from Crystal River,Swimming from makeshift raft  to life vest after fishing boat sank,M,42,abdomen,N,Unknown,blacktip shark
1959.01.02,1959,MOZAMBIQUE,Maputo Province,Off Inhaca Island,Swimming ashore from fishing boat swamped and sunk by a squall,M,30,abdomen,Y,8,Unknown
1945.07.30,1945,PHILIPPINES,In transit between Tinian and Leyte,200 miles Leyte,American cruiser Indianapolis torpedoed & sunk by the Japanese submarine I-58,Unknown,Unknown,buttock,Y,Unknown,Unknown
1980.01.13,1980,SOUTH AFRICA,Eastern Cape Province,Sardinia Bay,Swimming,M,Unknown,Unknown,N,Unknown,hammerhead shark
1959.01.00,1959,AUSTRALIA,Tasmania,Badger Head,Spearfishing / free diving,M,Unknown,Unknown,N,Unknown,Unknown
1953.03.19.R,1953,AUSTRALIA,South Australia,"Schnapper Rock, Kirton Point",Spearfishing,M,Unknown,Unknown,N,Unknown,Unknown
1999.00.00.a,1999,USA,Virginia,"Sandridge Beach, Virginia Beach, Princess Anne County",Body surfing,M,Unknown,Unknown,N,Unknown,Unknown
1986.04.00,1986,SPAIN,Catalonia,Lloret-de-Mar,Diving,M,Unknown,Unknown,N,Unknown,Unknown
1924.04.20,1924,AUSTRALIA,Western Australia,Fremantle,Swimming ,M,Unknown,Unknown,N,Unknown,Unknown
1993.08.19,1993,USA,Hawaii,"Paukukalo, Maui","Surfing, paddling seawards",M,Unknown,no injury,N,7,Unknown
1924.10.31.R,1924,FRENCH POLYNESIA,Tuamotus,Rangiroa,Pearl diving,M,Unknown,Unknown,N,Unknown,Unknown
1988.10.24,1988,PHILIPPINES,Viscayan Sea,Unknown,The MV Dona Marilyn sank in Typhoon Unsang with the loss of 389 lives,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1942.07.06,1942,ITALY,Liguria,Savona,Sculling,M,20,no injury,N,Unknown,porbeagle
1965.03.23,1965,USA,Puerto Rico,60 miles offshore north of San Juan,Aircraft exploded,M,Unknown,no injury,N,11,Unknown
1960.08.29,1960,SENEGAL,Cap-Vert Peninsula,off Dakar,Air disaster: crash of Air France Super Constellation ,Unknown,Unknown,no injury,Y,Unknown,Unknown
1935.07.27.a,1935,USA,California,Santa Barbara Channel,fishing boat exploded & sank,M,53,Unknown,Y,Unknown,Unknown
1923.01.13,1923,CUBA,Caribbean Sea,20 miles from Havana,seaplane Columbus ditched in the sea,M,Unknown,Unknown,Y,Unknown,dusky shark
1943.03.02.a,1943,PAPUA NEW GUINEA,Morobe Province, Huon Gulf,"Known as The Battle of the Bismarck Sea :  8 Japanese destroyers guarding a convoy of 8 transports were attacked by 129 Allied fighters, 207 bombers & 3 squadrons of the Royal Australian Air Force. ",Unknown,Unknown,Unknown,Y,Unknown,Unknown
2006.07.17,2006,USA,South Carolina,"Singleton Beach, Hilton Head Island, Beaufort County",Standing,M,49,ankle,N,10,angel shark
1998.05.16.c,1998,USA,Florida,"Pecks Lake, Martin County",Swimming,F,14,ankle,N,14,blacktip shark
1979.03.24,1979,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,M,27,ankle,N,11,blacktip shark
2016.05.18,2016,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,48,ankle,N,9,blacktip shark
2001.08.18.a,2001,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,ankle,N,10,blacktip shark
2001.04.13.a,2001,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,12,ankle,N,10,blacktip shark
2001.04.12.b,2001,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,12,ankle,N,12,blacktip shark
1975.00.00.b,1975,BERMUDA,Unknown,Unknown,Spearfishing,M,25,ankle,N,Unknown,blue shark
1959.07.23.a,1959,USA,California,"Venice Beach, Los Angeles County",Dragging stranded shark ashore,M,Unknown,ankle,N,Unknown,blue shark
2014.08.09.R,2014,BAHAMAS,Unknown,Unknown,Spearfishing,M,Unknown,ankle,N,Unknown,bull shark
1999.07.26,1999,USA,Florida,"Two miles off Key Colony Beach, Monroe County",Swimming with dolphins,M,43,ankle,N,18,bull shark
2016.05.21.b,2016,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,22,ankle,N,18,bull shark
2011.06.26,2011,USA,North Carolina,"North Topsail Beach, Onslow County",Playing in the surf,F,10,ankle,N,15,bull shark
2009.08.01,2009,USA,Louisiana,"Curlew Island, Breton Sound",Wade Fishing,M,56,ankle,N,10,bull shark
2009.10.29.R,2009,MOZAMBIQUE,Inhambane Province,Off Vilanculo,Spearfishing,M,Unknown,ankle,N,Unknown,bull shark
1962.04.07,1962,SOUTH AFRICA,KwaZulu-Natal,Umhlali,Wading,M,13,ankle,N,11,bull shark
1996.02.04,1996,AUSTRALIA,New South Wales,"Ned's Beach, Lord Howe Island",Swimming,M,7,ankle,N,15,caribbean reef shark
1989.11.02,1989,AUSTRALIA,Queensland,Mermaid Waters,Swimming in canal,M,10,ankle,N,Unknown,copper shark
2004.06.10.b,2004,AUSTRALIA,Western Australia,Bunbury,Body boarding,M,17,ankle,N,15,copper shark
1988.02.14,1988,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,M,20,ankle,N,17,grey reef shark
1983.07.12.b,1983,USA,Florida,"Caloosahatchee River, Lee County",Windsurfing,F,39,ankle,N,15,hammerhead shark
2000.07.07,2000,USA,Texas,"Mustang Island, Corpus Christi",Jumping,M,5,ankle,N,Unknown,lemon shark
2012.11.27,2012,AUSTRALIA,Queensland,Mooloolaba,Unknown,M,20,ankle,N,14,Unknown
1960.04.20.R,1960,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Fishing,M,Unknown,ankle,N,Unknown,sandtiger shark
1995.06.23,1995,USA,Georgia,"Tybee Island, Chatham County",Playing / jumping,M,13,ankle,N,Unknown,sand shark
1956.09.23,1956,USA,Florida,"Daytona Beach, Volusia County",Surf fishing,M,27,ankle,N,Unknown,sand shark
1997.05.31.a,1997,USA,Florida,"Flagler Beach, Flagler County",Surfing,M,12,ankle,N,11,sand shark
1994.10.08,1994,USA,Florida,"Bill Baggs Cape Florida State Recreation Area, Miami-Dade County",Wading,F,9,ankle,N,13,sand shark
2003.10.31.b,2003,AUSTRALIA,New South Wales,"Lighthouse Beach, Seal Rocks",Surfing,M,22,ankle,N,17,sandtiger shark
1985.10.22,1985,USA,California,"Point Conception, Santa Barbara County",Hookah diving for abalone,M,46,ankle,N,16,sevengill shark
2005.07.22,2005,USA,Florida,"Quarter mile south of Ponce de Leon Inlet, Volusia County",Surfing,M,25,ankle,N,11,Unknown
2003.08.12,2003,USA,California,"Venice Beach, Los Angeles County",Swimming,M,31,ankle,N,0,Unknown
1997.12.25.b,1997,USA,Florida,"Fort Lauderdale, Broward County",Unknown,F,29,ankle,N,Unknown,Unknown
1997.06.02,1997,USA,Florida,"Daytona Beach Shores,  Volusia County","Body surfing, stood up on sandbar",M,33,ankle,N,10,spinner shark
2011.09.02,2011,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,ankle,N,11,spinner shark
1987.02.28,1987,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Windsurfing,M,Unknown,ankle,N,Unknown,spinner shark
1993.06.10,1993,USA,Hawaii,"Goats Island (Mokuï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½auia Island), Malaekahana State Re",Paddling on surfboard or body board,M,22,ankle,N,7,tiger shark
1938.10.05,1938,AUSTRALIA,Queensland,Between Wynnum & St. Helena Island,Fishing,M,18,ankle,N,15,tiger shark
1961.02.17.a,1961,AUSTRALIA,Victoria,Mount Martha Beach,Standing,F,Unknown,ankle,N,18,Unknown
1947.04.20,1947,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",Treading water,M,21,ankle,N,12,Unknown
2015.09.20.d,2015,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,ankle,N,16,Unknown
1982.07.19,1982,USA,Florida,"Stuart Beach, Martin County ",Swimming,M,17,ankle,N,15,Unknown
1996.05.18,1996,USA,Florida,"South of Ponce Inlet, Volusia County",Surfing,M,22,ankle,N,13,Unknown
1975.09.00,1975,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,Paddleskiing,M,21,ankle,N,Unknown,Unknown
1942.00.00.f,1942,BAHAMAS,Cay Sal Bank,Anchored off the largest island in the group,Swimming along side N.E.L. vessel Saluda,M,48,ankle,N,15,Unknown
1967.12.30,1967,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surfing,M,22,ankle,N,14,Unknown
1992.11.23,1992,USA,Florida,Unknown,Surfing,M,24,ankle,N,13,Unknown
1991.10.12,1991,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,21,ankle,N,8,Unknown
1967.08.00.a,1967,SENEGAL,Cap Vert Peninsula,Hann,Beach seine netting,M,Unknown,ankle,N,4,Unknown
1990.10.12,1990,USA,Florida,"Stuart Beach, Martin County",Surfing,M,19,ankle,N,12,Unknown
1988.06.01,1988,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,25,ankle,N,8,Unknown
2003.06.26,2003,USA,Florida,St Augustine Beach. St. Johns County,Surfing,M,15,ankle,N,9,Unknown
2009.11.08,2009,AUSTRALIA,South Australia,Second Valley,Kayaking,M,25,ankle,N,10,Unknown
2003.07.05.b,2003,USA,Florida,"Near New Smyrna Jetty, Volusia County","Walking, carrying surfboard & stepped on shark",M,10,ankle,N,10,Unknown
1944.02.27,1944,SOUTH AFRICA,Western Cape Province,False Bay,Treading water,M,Unknown,ankle,N,14,Unknown
1980.01.25,1980,KENYA,Lamu Archipelago,South of Lamu Island,Spearfishing,M,29,ankle,N,Unknown,Unknown
1981.07.07,1981,USA,Florida,Carter Cay,Spearfishing,M,Unknown,ankle,N,18,Unknown
2002.09.21.b,2002,USA,Oregon,Cape Kiwanda,Boogie boarding or Surfing,M,24,ankle,N,Unknown,Unknown
2007.03.31.b,2007,USA,Florida,"Normandy Beach, Hutchinson Island,  St. Lucie County",Surfing,M,27,ankle,N,14,Unknown
2009.03.18.a,2009,USA,Florida,"Ponce Inlet, Volusia County",Surfing,F,17,ankle,N,17,Unknown
1987.07.21,1987,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,27,ankle,N,9,Unknown
1962.08.00.a,1962,SENEGAL,Cap Vert Peninsula,Unknown,Beach seine netting,M,23,ankle,N,Unknown,Unknown
2012.09.02.a,2012,USA,Florida,"New Smyrna Beach, Volusia County",Swimming or boogie boarding,F,56,ankle,N,16,Unknown
1957.04.22,1957,USA,Florida,"Ormond Beach, Volusia County",Standing,M,17,ankle,N,11,Unknown
2010.05.01,2010,USA,Florida,New Smyrna Beach,Wading,F,10,ankle,N,10,Unknown
2008.09.01,2008,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,52,ankle,N,10,Unknown
2012.03.14.b,2012,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,15,ankle,N,16,Unknown
1999.08.05.a,1999,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,M,62,ankle,N,11,Unknown
1983.10.13,1983,USA,Florida,"Daytona Beach, Volusia County",Wading,M,20,ankle,N,Unknown,Unknown
1958.01.19,1958,AUSTRALIA,New South Wales,Brunswick Heads,Body surfing,M,14,ankle,N,16,Unknown
1981.08.29,1981,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,ankle,N,Unknown,Unknown
1877.01.24.R,1877,AUSTRALIA,Victoria,Boarding School Bay,Swimming,F,Unknown,ankle,N,Unknown,Unknown
2003.09.13.a,2003,USA,South Carolina,"Isle of Palms, Charleston County","Standing, stepped on shark",M,15,ankle,N,15,Unknown
2015.09.01,2015,THAILAND,Phuket,Karon Beach,Wading,F,37,ankle,N,8,Unknown
1946.01.17,1946,AUSTRALIA,Queensland,Townsville,Unknown,M,12,ankle,N,Unknown,Unknown
2013.06.15,2013,USA,Florida,"Atlantic Beach, Duval County",Surfing,F,Unknown,ankle,N,Unknown,Unknown
1999.04.01,1999,USA,Florida,"Hobe Sound Beach, Palm Beach County",Surfing,M,14,ankle,N,Unknown,Unknown
2003.02.15.b,2003,AUSTRALIA,South Australia,"Goolwa Beach, Fleurieu Peninsula",Wading,M,37,ankle,N,18,Unknown
2013.05.04.a,2013,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,16,ankle,N,11,Unknown
2003.04.20.a,2003,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,ankle,N,14,Unknown
2014.08.02.b,2014,USA,Florida,"Table Beach, Brevard County",Boogie boarding,M,8,ankle,N,13,Unknown
2016.12.14,2016,AUSTRALIA,Western Australia,Trigg Beach,Free diving,M,61,ankle,N,9,Unknown
2016.08.29.a,2016,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,37,ankle,N,14,Unknown
2016.08.25,2016,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,49,ankle,N,16,Unknown
2016.03.11,2016,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,M,19,ankle,N,13,Unknown
2015.11.03,2015,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,M,54,ankle,N,11,Unknown
2015.10.05.b,2015,USA,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,M,22,ankle,N,13,Unknown
1995.02.00,1995,VENEZUELA,Unknown,Unknown,Wind surfing,M,Unknown,ankle,N,Unknown,Unknown
2015.04.11,2015,AUSTRALIA,New South Wales,McKenzies Beach,Paddle boarding,M,Unknown,ankle,N,7,Unknown
2014.08.09,2014,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,10,ankle,N,13,Unknown
2013.09.25,2013,USA,Florida,"Panama City, Bay County",Standing,M,7,ankle,N,10,Unknown
2013.07.19,2013,USA,Alabama,"Gulf Shores, Baldwin County",Walking in surf,F,50,ankle,N,14,Unknown
2012.10.18.b,2012,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,24,ankle,N,10,Unknown
2016.12.11,2016,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,ankle,N,15,Unknown
2016.10.30,2016,USA,Florida,"Mayport Naval Station Beach, Duval County",Surfing,M,41,ankle,N,15,Unknown
2011.12.23,2011,USA,Florida,New Smyrna Beach,Surfing,M,27,ankle,N,12,Unknown
2011.07.06,2011,REUNION,Saint-Gilles,Roches Noires,Surfing,M,16,ankle,N,14,Unknown
2011.05.13.b,2011,USA,Florida,"Ponte Vedra Beach, St Johns County",Body surfing,M,86,ankle,N,15,Unknown
1990.07.08,1990,USA,Florida,"Perdido Key near the Florida Panhandle, Escambia County",Surfing,M,17,ankle,N,Unknown,Unknown
2011.06.21,2011,USA,Florida,"Perdido Key, Escambia County",Jet skiing,M,20,ankle,N,15,Unknown
1989.06.29,1989,USA,Hawaii,"Anahola, Kaua'i",Fell off surfboard 20' from shore,M,Unknown,ankle,N,Unknown,Unknown
2009.07.05,2009,USA,Florida,"Daytona Beach, Volusia County",Boogie Boarding,F,12,ankle,N,16,Unknown
